Client_ID,Service_Type,Monthly_Revenue,Contract_Length,Support_Tickets,Satisfaction_Score,Payment_Delay,Cloud_Usage,Security_Incidents,Churn
1062,Security,44752.0,36,6,4.5,50,18,6,1
1063,Infrastructure,34697.0,36,3,2.1,45,50,8,0
1064,Infrastructure,7567.0,36,10,2.5,24,60,2,0
1065,Security,21121.0,24,21,3.4,26,66,6,0
1066,Cloud,6674.0,36,29,4.5,29,82,8,0
1067,Support,15875.0,36,22,4.3,29,70,2,0
1068,Infrastructure,49340.0,24,1,2.1,42,15,8,0
1069,Support,5739.0,36,9,4.3,33,35,1,0
1070,Cloud,6545.0,24,5,3.8,32,83,2,0
1071,Cloud,34140.0,24,7,5.0,31,15,3,0
1072,Cloud,14327.0,12,14,4.7,57,62,6,0
1073,Infrastructure,10127.0,24,12,3.1,41,70,8,0
1074,Cloud,28331.0,24,28,4.0,11,42,0,0
1075,Infrastructure,28004.0,24,27,3.3,40,54,8,0
1076,Cloud,46833.0,36,21,3.4,22,49,9,0
1077,Support,,12,1,1.4,57,33,4,1
1078,Support,18749.0,36,19,1.0,28,54,3,0
1079,Security,28508.0,24,0,1.2,42,47,5,0
1080,Support,14045.0,24,14,4.9,0,38,9,0
1081,Security,,12,6,1.5,19,88,4,0
1082,Support,23667.0,12,23,1.2,9,17,4,1
1083,Infrastructure,14521.0,24,25,2.2,18,73,4,0
1084,Support,13669.0,24,17,3.4,58,96,7,0
1085,Security,32302.0,36,9,4.8,22,82,9,0
1086,Security,16283.0,24,14,3.8,20,60,7,0
1087,Cloud,35935.0,36,4,2.1,56,84,9,1
1088,Infrastructure,11998.0,12,26,4.8,42,15,3,0
1089,Support,,36,23,1.1,34,56,8,1
1090,Cloud,36624.0,24,10,4.9,58,58,7,0
1091,Support,18440.0,36,7,1.2,47,85,5,1
1092,Support,26797.0,36,20,4.0,31,94,1,0
1093,Cloud,,12,7,1.2,53,41,8,1
1094,Cloud,,36,29,4.7,9,63,5,0
1095,Cloud,35251.0,24,5,1.4,1,45,7,0
1096,Cloud,,36,14,1.2,50,98,5,0
1097,Cloud,,36,14,4.6,35,28,4,0
1098,Support,43729.0,36,4,1.4,47,46,6,1
1099,Cloud,20734.0,24,12,4.2,5,26,3,0
1100,Infrastructure,47429.0,36,13,4.0,42,89,9,0
1101,Security,46337.0,24,10,3.4,16,25,2,0
1102,Cloud,,36,19,2.5,14,67,6,0
1103,Cloud,23064.0,12,20,4.7,53,53,1,0
1104,Support,,12,11,4.5,35,77,9,0
1105,Cloud,14111.0,12,19,2.7,23,58,2,0
1106,Cloud,43450.0,24,0,1.9,56,60,0,0
1107,Cloud,,24,2,2.1,39,14,0,0
1108,Support,,24,7,1.9,55,67,1,0
1109,Cloud,,36,22,3.2,28,55,0,1
1110,Security,21453.0,24,11,4.5,49,64,1,0
1111,Support,25308.0,24,14,4.1,13,82,0,0
1112,Security,43968.0,24,22,4.2,57,26,2,0
1113,Support,35077.0,24,26,2.8,1,21,8,0
1114,Cloud,48046.0,12,2,2.3,47,33,8,0
1115,Security,39775.0,36,24,4.0,21,65,7,1
1116,Support,29503.0,12,21,4.2,46,64,8,0
1117,Infrastructure,7779.0,36,7,3.8,52,85,3,0
1118,Cloud,26304.0,36,23,1.1,5,88,7,0
1119,Support,5755.0,12,18,3.4,8,25,4,1
1120,Infrastructure,,24,19,2.4,11,96,3,0
1121,Support,47955.0,12,29,1.8,41,91,3,0
1122,Infrastructure,47281.0,36,5,3.8,38,31,1,0
1123,Cloud,22400.0,36,17,2.1,4,53,9,0
1124,Security,45115.0,24,27,4.7,57,52,8,0
1125,Infrastructure,19249.0,12,27,2.2,54,88,8,1
1126,Support,49825.0,36,10,3.2,39,30,0,0
1127,Cloud,29600.0,12,11,4.3,58,17,3,0
1128,Infrastructure,42706.0,24,22,2.6,43,58,8,0
1129,Support,24222.0,24,1,4.3,0,15,3,1
1130,Support,38505.0,36,26,3.9,9,90,1,0
1131,Support,43968.0,24,4,4.7,10,56,1,0
1132,Infrastructure,,36,27,2.3,26,45,9,0
1133,Infrastructure,46302.0,36,3,1.4,22,32,8,0
1134,Infrastructure,34148.0,24,8,2.7,19,40,3,0
1135,Security,27302.0,24,12,4.1,4,84,0,1
1136,Infrastructure,,12,12,2.8,12,71,0,0
1137,Infrastructure,13646.0,12,14,2.0,49,93,0,1
1138,Infrastructure,18543.0,36,1,1.1,9,90,7,0
1139,Security,33960.0,12,22,2.3,52,66,0,0
1140,Infrastructure,27785.0,36,12,3.9,56,79,4,0
1141,Support,17817.0,24,6,1.6,48,74,8,0
1142,Infrastructure,36406.0,24,22,2.4,50,46,3,0
1143,Support,28456.0,12,16,1.1,35,77,8,0
1144,Support,28777.0,36,7,3.9,40,84,4,0
1145,Support,,36,17,4.5,49,26,8,0
1146,Security,34553.0,12,14,3.3,15,16,1,0
1147,Security,28548.0,36,14,1.1,6,61,7,1
1148,Security,42265.0,36,4,1.9,31,44,6,0
1149,Infrastructure,45701.0,24,1,2.8,24,11,6,0
1150,Support,11727.0,36,15,3.4,43,49,2,0
1151,Security,49924.0,36,28,3.0,25,46,9,0
1152,Security,37427.0,36,4,4.7,35,66,1,1
1153,Infrastructure,21692.0,12,22,4.8,52,19,9,0
1154,Security,36625.0,12,5,1.4,27,85,0,0
1155,Infrastructure,29918.0,12,28,1.6,43,90,0,0
1156,Cloud,46395.0,36,11,2.4,11,55,6,0
1157,Security,46136.0,36,4,2.7,25,99,8,0
1158,Cloud,20577.0,12,19,3.3,3,14,0,0
1159,Infrastructure,24619.0,12,7,4.1,43,14,9,0
1160,Support,38710.0,36,10,1.5,22,36,3,1
1161,Security,42388.0,36,13,4.2,39,14,1,0
1162,Infrastructure,21195.0,24,23,3.4,23,70,7,0
1163,Support,32689.0,12,16,4.9,30,17,8,0
1164,Support,16154.0,36,9,3.6,29,40,2,0
1165,Cloud,44121.0,12,1,3.9,2,30,2,1
1166,Infrastructure,34412.0,12,2,1.8,15,30,6,0
1167,Support,26341.0,12,12,4.1,33,60,8,0
1168,Security,37018.0,24,16,1.3,37,88,6,0
1169,Security,14145.0,36,26,3.6,27,68,6,0
1170,Cloud,,36,2,1.2,48,11,1,0
1171,Support,27223.0,12,9,1.5,43,39,0,1
1172,Infrastructure,7880.0,36,27,1.4,40,67,1,0
1173,Security,26271.0,24,7,1.2,47,90,5,0
1174,Support,38313.0,12,3,2.3,6,29,9,0
1175,Support,18304.0,24,12,5.0,7,49,7,0
1176,Cloud,39695.0,24,28,2.4,6,38,7,0
1177,Security,35225.0,36,6,4.0,52,14,5,0
1178,Security,25536.0,36,6,1.5,36,98,1,1
1179,Infrastructure,35831.0,24,15,2.8,54,19,8,0
1180,Security,16673.0,36,26,1.7,6,92,9,1
1181,Infrastructure,26917.0,24,4,1.8,49,70,3,0
1182,Security,32829.0,24,27,1.4,17,10,4,0
1183,Cloud,20372.0,12,16,2.7,47,56,0,0
1184,Security,30938.0,24,9,1.3,38,66,8,0
1185,Infrastructure,7663.0,24,3,4.6,20,23,9,0
1186,Infrastructure,14465.0,36,22,2.8,33,34,0,0
1187,Cloud,8326.0,12,13,4.4,48,99,6,0
1188,Security,8659.0,36,4,4.9,56,30,8,0
1189,Security,32594.0,12,1,3.7,26,25,2,0
1190,Cloud,9763.0,36,13,4.6,7,83,1,0
1191,Security,28121.0,24,23,1.5,33,41,9,0
1192,Security,15828.0,12,17,4.3,17,54,7,0
1193,Infrastructure,16221.0,12,26,2.1,50,73,3,0
1194,Security,16211.0,12,23,2.9,51,93,0,0
1195,Security,18569.0,12,28,3.6,40,82,7,1
1196,Cloud,36358.0,36,10,4.6,11,69,5,1
1197,Cloud,42860.0,36,15,4.6,21,28,5,1
1198,Support,11022.0,12,17,1.4,50,56,3,0
1199,Infrastructure,18515.0,12,26,2.5,39,73,5,0
1200,Security,11159.0,12,15,4.2,21,39,1,0
1201,Security,46213.0,36,20,3.8,7,56,5,0
1202,Support,26691.0,12,3,1.1,41,97,1,0
1203,Security,29904.0,12,0,2.8,27,42,5,0
1204,Infrastructure,48790.0,12,13,4.3,49,91,8,0
1205,Support,8044.0,36,11,4.0,46,30,6,0
1206,Infrastructure,14612.0,24,23,2.6,55,72,3,0
1207,Support,10636.0,24,9,3.9,31,51,0,0
1208,Support,16593.0,36,27,3.2,10,70,8,0
1209,Cloud,7892.0,24,18,4.7,20,52,0,0
1210,Infrastructure,26672.0,12,28,3.3,25,77,4,0
1211,Security,10812.0,12,3,2.6,13,35,6,1
1212,Security,36085.0,36,19,4.5,14,42,9,0
1213,Infrastructure,5654.0,36,20,1.2,13,42,9,1
1214,Security,22143.0,24,2,4.6,11,58,5,0
1215,Security,6798.0,24,24,3.8,35,93,2,0
1216,Infrastructure,42927.0,12,3,4.8,2,50,7,1
1217,Support,34087.0,36,29,2.0,43,81,6,0
1218,Infrastructure,16618.0,24,25,3.8,56,45,8,0
1219,Support,13446.0,24,14,4.2,57,81,0,1
1220,Security,26646.0,12,10,3.8,6,31,7,0
1221,Security,41591.0,12,15,1.8,38,56,3,0
1222,Security,32200.0,12,26,2.1,53,92,6,0
1223,Cloud,34571.0,12,3,3.3,56,29,6,1
1224,Support,27538.0,24,5,2.8,50,96,3,1
1225,Cloud,45555.0,36,7,3.9,45,33,7,0
1226,Cloud,48964.0,36,12,2.5,0,52,0,0
1227,Infrastructure,25900.0,12,22,4.4,38,97,4,0
1228,Cloud,27356.0,12,19,2.7,24,82,3,0
1229,Infrastructure,28023.0,24,3,1.2,30,25,3,1
1230,Infrastructure,44148.0,12,4,1.1,21,36,2,1
1231,Cloud,22392.0,36,9,3.6,9,54,0,0
1232,Support,25698.0,12,4,3.2,17,46,4,0
1233,Support,47470.0,36,11,3.2,12,22,7,0
1234,Support,31535.0,12,0,4.2,7,60,9,0
1235,Support,40450.0,12,28,2.5,8,11,5,1
1236,Support,38757.0,36,23,5.0,57,85,0,0
1237,Cloud,17476.0,24,9,4.8,14,96,4,1
1238,Cloud,46214.0,24,28,1.1,7,68,5,0
1239,Security,9711.0,12,4,4.6,56,23,8,1
1240,Support,11479.0,12,18,3.7,32,58,8,0
1241,Cloud,36390.0,36,18,3.0,34,39,4,0
1242,Security,18161.0,36,19,3.3,18,18,2,1
1243,Support,37152.0,12,11,4.4,29,88,5,0
1244,Infrastructure,19635.0,36,22,4.8,8,33,7,1
1245,Security,45843.0,24,15,3.2,18,50,4,0
1246,Cloud,,24,4,1.7,46,69,7,0
1247,Infrastructure,25836.0,36,16,3.6,45,98,0,0
1248,Infrastructure,29831.0,36,13,1.3,25,41,7,0
1249,Infrastructure,,36,11,3.5,0,56,1,0
1250,Security,31331.0,24,12,4.2,2,30,6,0
1251,Cloud,45456.0,12,20,2.4,33,51,1,1
1252,Infrastructure,,36,13,1.3,24,79,2,0
1253,Support,,36,4,3.8,29,98,4,1
1254,Infrastructure,32573.0,36,21,2.4,0,11,9,1
1255,Infrastructure,24187.0,12,29,2.0,58,40,6,0
1256,Security,16957.0,36,22,3.8,17,65,8,0
1257,Security,9379.0,36,4,4.9,32,39,4,0
1258,Cloud,32959.0,24,28,4.0,8,72,0,0
1259,Support,21482.0,36,26,3.0,6,24,2,0
1260,Security,,24,29,3.4,29,27,4,0
1261,Infrastructure,5877.0,12,17,1.6,12,41,2,0
1262,Cloud,23252.0,36,13,4.3,16,23,7,0
1263,Infrastructure,36334.0,36,17,3.4,12,71,7,0
1264,Infrastructure,,24,28,4.9,12,91,0,0
1265,Security,22772.0,12,19,4.9,41,61,7,0
1266,Cloud,,12,0,2.4,59,31,3,1
1267,Support,12242.0,24,6,5.0,37,23,5,0
1268,Support,,12,28,4.8,36,87,9,0
1269,Security,46381.0,12,16,3.6,9,43,7,1
1270,Security,40651.0,12,2,2.3,13,95,1,0
1271,Cloud,38972.0,12,9,4.0,42,89,7,0
1272,Support,21928.0,12,6,2.1,4,65,6,0
1273,Support,33742.0,12,26,3.5,35,62,3,0
1274,Support,16831.0,12,27,1.1,34,58,4,0
1275,Infrastructure,,12,11,3.5,45,72,5,0
1276,Support,30343.0,36,21,4.8,44,25,2,0
1277,Infrastructure,27834.0,24,14,1.9,55,89,1,0
1278,Cloud,44288.0,12,22,4.1,22,49,1,0
1279,Infrastructure,38422.0,24,20,2.2,4,47,3,0
1280,Cloud,28205.0,12,15,3.8,43,27,6,0
1281,Support,23830.0,12,7,3.8,56,32,0,0
1282,Support,13412.0,36,5,1.7,27,57,0,0
1283,Cloud,8666.0,24,27,3.4,22,91,3,1
1284,Security,42045.0,24,3,4.4,41,55,8,1
1285,Cloud,25786.0,36,29,2.5,33,31,4,0
1286,Security,10515.0,36,10,3.8,30,63,0,0
1287,Infrastructure,,24,16,3.7,6,49,2,0
1288,Infrastructure,31627.0,12,1,2.0,6,39,5,0
1289,Infrastructure,20198.0,12,27,4.7,3,64,2,1
1290,Support,8985.0,24,5,3.3,43,65,5,0
1291,Infrastructure,,12,3,2.4,31,51,5,0
1292,Security,,36,2,1.7,27,51,4,1
1293,Infrastructure,,36,6,2.9,55,71,9,1
1294,Cloud,24403.0,36,6,3.9,3,91,4,0
1295,Cloud,8681.0,24,15,3.5,38,62,8,0
1296,Support,31019.0,24,1,3.9,51,91,2,1
1297,Cloud,32586.0,24,7,4.2,44,62,9,0
1298,Security,47292.0,12,14,2.8,7,73,6,0
1299,Infrastructure,42521.0,24,26,3.1,13,10,3,0
1300,Support,44850.0,24,15,4.9,29,88,1,0
1301,Infrastructure,41770.0,36,0,4.9,2,78,9,0
1302,Infrastructure,10629.0,12,26,2.7,1,36,2,0
1303,Security,32710.0,12,9,3.7,9,26,2,0
1304,Cloud,,36,6,2.1,5,72,2,1
1305,Cloud,,12,15,1.6,54,50,2,0
1306,Infrastructure,13417.0,24,9,4.1,6,67,9,0
1307,Support,39765.0,12,11,2.7,15,66,5,0
1308,Cloud,13963.0,36,16,1.7,5,47,5,0
1309,Support,42292.0,12,12,4.0,15,99,8,1
1310,Cloud,30009.0,36,11,4.7,26,75,7,0
1311,Support,32675.0,24,14,4.7,55,54,9,0
1312,Security,,24,13,3.4,11,32,6,0
1313,Support,11731.0,36,18,2.9,21,29,1,0
1314,Security,45563.0,24,18,1.6,14,45,9,0
1315,Security,16332.0,24,25,4.2,21,51,1,1
1316,Support,,12,13,4.8,34,31,0,0
1317,Security,,24,17,4.6,59,69,6,1
1318,Infrastructure,7911.0,36,29,4.0,47,20,6,0
1319,Security,,24,25,1.0,49,37,0,0
1320,Cloud,20194.0,12,28,2.6,14,54,5,0
1321,Support,9951.0,36,4,2.6,22,31,6,0
1322,Infrastructure,,24,19,4.6,37,90,0,1
1323,Support,33333.0,24,28,1.3,48,72,5,1
1324,Cloud,26673.0,24,5,3.1,1,40,9,1
1325,Cloud,45870.0,36,17,1.5,1,20,8,0
1326,Cloud,10565.0,12,13,3.6,48,45,0,0
1327,Security,27821.0,36,3,4.2,18,87,1,0
1328,Security,30494.0,36,27,3.6,4,44,1,1
1329,Support,38941.0,12,22,4.2,3,32,9,0
1330,Support,13624.0,36,0,3.4,27,38,2,0
1331,Infrastructure,,36,12,1.8,17,32,3,0
1332,Infrastructure,23646.0,24,10,2.5,39,25,6,0
1333,Support,16824.0,36,2,4.8,40,93,2,0
1334,Security,,24,16,2.2,55,98,6,0
1335,Cloud,8815.0,36,17,1.3,54,28,4,0
1336,Support,,24,24,2.5,57,99,4,0
1337,Infrastructure,46950.0,24,9,2.5,49,72,6,0
1338,Security,46886.0,24,15,2.9,30,59,6,0
1339,Support,49398.0,12,20,3.2,21,94,6,0
1340,Support,7607.0,36,12,5.0,10,82,8,0
1341,Security,30650.0,36,19,4.0,47,52,0,1
1342,Support,43698.0,36,11,1.1,15,28,0,0
1343,Security,37353.0,12,3,3.9,3,94,2,0
1344,Cloud,41790.0,24,7,4.3,20,27,5,0
1345,Security,16991.0,36,11,4.6,40,15,1,0
1346,Security,26168.0,12,18,2.7,44,44,8,0
1347,Security,,12,14,2.3,24,23,0,1
1348,Support,44385.0,36,27,4.4,19,73,4,0
1349,Support,40919.0,24,15,4.1,7,18,6,1
1350,Security,,12,11,3.1,42,44,9,0
1351,Support,10580.0,36,19,1.5,52,11,2,0
1352,Infrastructure,12054.0,24,17,3.6,8,15,1,0
1353,Infrastructure,29090.0,12,21,1.3,17,34,2,1
1354,Support,45387.0,12,11,1.4,30,82,6,0
1355,Support,20823.0,36,15,2.3,51,59,0,0
1356,Security,42341.0,36,24,2.5,34,16,7,0
1357,Cloud,20339.0,24,27,2.8,54,72,2,1
1358,Support,8491.0,36,19,2.4,29,37,4,0
1359,Infrastructure,5706.0,36,10,1.1,17,11,9,1
1360,Security,36957.0,24,21,1.6,18,74,4,0
1361,Support,,36,19,1.5,40,68,5,0
1362,Infrastructure,11997.0,24,13,2.7,23,33,6,0
1363,Infrastructure,43001.0,24,1,1.8,49,71,0,0
1364,Cloud,43523.0,24,12,2.2,21,80,5,0
1365,Security,30163.0,36,13,2.9,47,47,1,0
1366,Security,22718.0,24,5,1.9,13,71,9,1
1367,Cloud,26972.0,36,11,2.0,18,74,2,0
1368,Cloud,,24,6,4.3,59,60,4,1
1369,Security,44619.0,36,3,3.2,28,61,0,0
1370,Security,17126.0,24,27,4.4,21,83,6,1
1371,Support,28595.0,12,26,3.1,29,72,0,0
1372,Support,45633.0,12,6,4.6,14,20,7,1
1373,Cloud,17118.0,12,12,2.0,20,57,5,0
1374,Support,8317.0,24,10,3.5,25,63,0,0
1375,Infrastructure,49980.0,36,7,3.0,35,59,6,0
1376,Support,49115.0,24,26,4.7,11,83,9,0
1377,Support,,24,18,2.7,6,47,2,0
1378,Infrastructure,44828.0,24,1,4.4,10,95,6,0
1379,Cloud,20504.0,24,20,3.3,57,97,7,0
1380,Infrastructure,8057.0,36,17,3.8,38,17,9,1
1381,Support,31660.0,24,25,4.5,19,15,2,0
1382,Cloud,,12,20,5.0,34,77,4,0
1383,Support,5402.0,12,9,3.9,3,78,9,0
1384,Infrastructure,13605.0,12,28,2.3,1,15,1,1
1385,Infrastructure,20761.0,24,5,2.2,19,41,1,0
1386,Support,32043.0,36,23,2.2,46,47,0,0
1387,Security,38635.0,36,21,1.4,19,66,2,0
1388,Security,18779.0,36,3,1.2,11,93,3,0
1389,Infrastructure,,24,18,3.3,52,73,2,0
1390,Infrastructure,45978.0,36,13,4.2,16,63,7,0
1391,Security,38132.0,12,13,1.1,17,23,0,0
1392,Security,28851.0,36,17,3.3,39,73,4,0
1393,Support,20366.0,24,28,2.5,23,59,6,1
1394,Support,,24,16,4.6,7,56,8,1
1395,Security,11571.0,36,17,1.6,36,63,0,0
1396,Support,19017.0,24,17,3.3,55,28,8,0
1397,Support,44236.0,36,4,4.9,40,84,8,0
1398,Cloud,9150.0,36,8,2.4,29,48,3,0
1399,Support,24423.0,12,0,4.0,19,74,9,0
1400,Infrastructure,9137.0,24,3,4.5,51,92,4,0
1401,Support,34992.0,12,25,1.7,22,69,5,0
1402,Support,33902.0,24,6,5.0,36,42,3,0
1403,Security,49921.0,36,10,4.2,58,41,5,0
1404,Infrastructure,18833.0,24,13,1.6,9,45,4,0
1405,Support,6381.0,36,9,2.2,32,33,2,0
1406,Support,13154.0,24,18,3.5,23,52,2,0
1407,Cloud,39235.0,12,7,4.5,35,80,8,0
1408,Support,18439.0,12,2,1.8,55,80,4,0
1409,Support,24122.0,36,7,3.9,15,55,2,0
1410,Cloud,28956.0,12,28,2.1,49,56,7,0
1411,Security,,36,17,4.2,27,78,7,0
1412,Support,49774.0,36,4,3.7,11,23,2,0
1413,Cloud,8149.0,36,19,3.1,19,54,6,0
1414,Infrastructure,29660.0,24,10,3.6,46,61,8,0
1415,Security,45660.0,36,8,4.5,17,99,2,0
1416,Infrastructure,25528.0,12,18,2.5,36,59,7,1
1417,Infrastructure,,24,11,4.1,57,74,0,0
1418,Cloud,40897.0,12,26,1.6,25,86,2,0
1419,Support,20032.0,36,4,3.8,45,73,3,1
1420,Cloud,40294.0,36,15,4.0,55,32,2,0
1421,Cloud,48827.0,12,25,2.8,58,93,8,0
1422,Cloud,8516.0,24,24,4.2,6,80,9,0
1423,Cloud,24751.0,12,12,3.2,42,79,4,1
1424,Security,35373.0,36,5,4.7,46,68,2,0
1425,Support,35270.0,24,15,1.4,20,82,2,0
1426,Infrastructure,15386.0,36,17,1.5,42,83,1,0
1427,Infrastructure,41323.0,36,16,4.4,31,63,9,0
1428,Support,19157.0,12,11,4.4,6,80,5,0
1429,Infrastructure,42879.0,36,26,2.9,52,98,8,0
1430,Support,44520.0,12,0,4.9,22,35,6,0
1431,Infrastructure,44132.0,24,6,3.7,19,53,1,0
1432,Cloud,8626.0,36,13,4.9,19,85,8,1
1433,Infrastructure,25400.0,36,27,3.1,31,22,2,0
1434,Support,41643.0,24,17,1.8,25,63,6,0
1435,Support,43265.0,12,22,2.8,35,49,9,0
1436,Support,20979.0,36,0,4.9,58,13,6,0
1437,Support,16529.0,24,19,2.5,23,62,3,0
1438,Support,21645.0,36,9,4.8,0,10,3,0
1439,Security,31424.0,12,14,4.2,57,15,1,0
1440,Security,,12,28,2.8,52,64,1,0
1441,Infrastructure,,12,10,3.2,27,75,1,0
1442,Support,48226.0,12,3,3.4,25,27,4,0
1443,Infrastructure,18844.0,24,14,3.7,33,38,2,0
1444,Support,9175.0,36,20,1.3,25,62,9,0
1445,Support,35519.0,24,29,4.7,35,42,6,0
1446,Security,14174.0,12,15,3.4,4,12,6,0
1447,Security,8443.0,12,29,4.7,55,29,5,0
1448,Cloud,,12,25,3.5,1,13,7,0
1449,Security,15725.0,12,14,2.7,31,91,3,0
1450,Cloud,38461.0,36,16,3.3,33,17,8,0
1451,Cloud,,12,22,4.3,49,95,9,0
1452,Cloud,49548.0,36,10,2.3,29,95,9,0
1453,Cloud,36351.0,12,17,4.8,23,92,4,0
1454,Cloud,23196.0,36,27,2.9,27,37,3,0
1455,Infrastructure,19254.0,36,15,4.8,45,75,2,0
1456,Security,19021.0,12,26,4.5,2,82,8,0
1457,Cloud,10724.0,24,14,4.1,52,95,3,1
1458,Support,,24,28,2.9,49,35,8,0
1459,Security,6407.0,24,10,3.3,53,43,0,0
1460,Security,13032.0,24,12,4.4,9,80,4,0
1461,Cloud,22794.0,24,17,3.2,5,58,0,0
1462,Infrastructure,,12,7,4.0,33,98,8,0
1463,Cloud,25756.0,12,8,4.2,30,58,6,0
1464,Infrastructure,45162.0,12,21,3.1,51,82,9,0
1465,Support,34416.0,12,10,3.1,42,36,8,0
1466,Security,49354.0,12,16,1.8,49,74,4,0
1467,Support,30752.0,12,0,2.0,45,42,9,0
1468,Infrastructure,17926.0,36,29,4.6,57,81,8,0
1469,Infrastructure,38765.0,36,10,4.4,51,58,3,0
1470,Support,19390.0,12,6,1.0,12,72,2,0
1471,Infrastructure,43867.0,12,7,4.5,58,41,1,0
1472,Support,26939.0,36,18,1.1,38,28,3,0
1473,Security,32307.0,36,24,2.8,52,59,2,0
1474,Support,35828.0,12,3,1.3,57,31,8,1
1475,Security,,36,3,4.9,19,99,7,0
1476,Support,29502.0,24,18,4.9,31,76,0,0
1477,Infrastructure,35063.0,24,23,3.4,9,18,1,0
1478,Support,27486.0,24,8,2.6,25,44,2,0
1479,Infrastructure,43258.0,36,16,3.0,18,80,5,1
1480,Support,36692.0,12,17,4.0,28,88,4,0
1481,Support,43384.0,12,0,1.9,12,13,4,0
1482,Cloud,20958.0,12,13,2.8,53,46,5,0
1483,Infrastructure,40016.0,36,3,3.9,33,37,7,0
1484,Cloud,,36,9,2.6,19,18,0,0
1485,Infrastructure,15748.0,24,22,1.1,43,44,4,0
1486,Cloud,15514.0,36,13,3.0,39,34,5,0
1487,Security,27738.0,24,6,3.9,17,18,9,0
1488,Support,,24,11,4.9,56,70,5,0
1489,Infrastructure,13070.0,12,21,1.1,33,61,8,0
1490,Infrastructure,32765.0,36,28,3.2,47,26,9,0
1491,Support,46662.0,12,26,2.8,7,85,6,0
1492,Infrastructure,35761.0,12,15,2.0,15,18,3,0
1493,Infrastructure,21698.0,36,4,3.6,39,63,6,1
1494,Cloud,20123.0,36,10,1.7,22,14,6,0
1495,Infrastructure,40144.0,24,3,2.1,31,72,5,0
1496,Security,30616.0,24,27,4.1,12,56,7,0
1497,Security,42146.0,24,12,2.8,25,99,7,1
